Location,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_mean,humidity_std,humidity_min,humidity_max,co2_mean,co2_std,co2_min,co2_max,pir_mean,pir_std,pir_min,pir_max,light_mean,light_std,light_min,light_max,CO2_Rank,Humidity_Rank,Light_Rank,Temperature_Rank,PIR_Rank,description
AM01-0601,21.45803459440539,1.4786171532643868,17.4,26.9,32.432955108946125,13.194172446588507,5,76,428.10853775923925,3269.0056061482655,104,65533,0.5474433392643584,2.4967488539153604,0,29,48.53767173234548,93.75973357820335,1,2327,Good,Good,Dark,Comfortable,Free,"The room AM01-0601 has a mean temperature of 21.45803459440539°C with a standard deviation of 1.4786171532643868°C, ranging from 17.4°C to 26.9°C. The average humidity is 32.432955108946125% with a standard deviation of 13.194172446588507%, ranging from 5% to 76%. The average CO2 level is 428.10853775923925 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2001,21.08597125361456,1.1817303328103446,18.3,26.2,29.248299030447356,13.842956224684757,2,78,530.8861200884504,120.17716616066647,415,2007,0.7604184385099507,3.301326078981049,0,29,18.05302772580371,32.439710267347735,0,1042,Good,Average,Dark,Comfortable,Free,"The room BK-2001 has a mean temperature of 21.08597125361456°C with a standard deviation of 1.1817303328103446°C, ranging from 18.3°C to 26.2°C. The average humidity is 29.248299030447356% with a standard deviation of 13.842956224684757%, ranging from 2% to 78%. The average CO2 level is 530.8861200884504 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2002,21.26291104899704,1.1727024363468432,18.9,25.8,28.7327359421243,13.72739643181847,2,77,478.30927326537324,119.22862905127371,369,1952,0.605721802038803,2.833930526351895,0,29,34.46169023347583,43.72928200449336,0,1089,Good,Average,Dark,Comfortable,Free,"The room BK-2002 has a mean temperature of 21.26291104899704°C with a standard deviation of 1.1727024363468432°C, ranging from 18.9°C to 25.8°C. The average humidity is 28.7327359421243% with a standard deviation of 13.72739643181847%, ranging from 2% to 77%. The average CO2 level is 478.30927326537324 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2101,21.41352901197859,1.256762870374639,18.9,26.0,29.383569790162262,13.561453400806508,4,79,444.1468439384929,117.304311107392,328,1909,1.0735706397077565,3.9290929440285702,0,28,23.82524849205675,47.57497757924277,0,946,Good,Average,Dark,Comfortable,Occupied,"The room BK-2101 has a mean temperature of 21.41352901197859°C with a standard deviation of 1.256762870374639°C, ranging from 18.9°C to 26.0°C. The average humidity is 29.383569790162262% with a standard deviation of 13.561453400806508%, ranging from 4% to 79%. The average CO2 level is 444.1468439384929 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BK-2102,21.277809734513273,1.165167753461226,18.9,25.4,29.158495575221238,13.474157208053736,4,78,466.62889380530976,119.06157516604176,352,1888,0.8079203539823009,3.1777662359299286,0,29,28.320973451327433,40.20794529056264,1,1007,Good,Average,Dark,Comfortable,Free,"The room BK-2102 has a mean temperature of 21.277809734513273°C with a standard deviation of 1.165167753461226°C, ranging from 18.9°C to 25.4°C. The average humidity is 29.158495575221238% with a standard deviation of 13.474157208053736%, ranging from 4% to 78%. The average CO2 level is 466.62889380530976 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2201,21.113451755825402,1.6579975462450112,16.2,27.0,29.286183130948473,14.238996776067554,3,85,440.3695848375451,112.97747874690879,316,1854,1.4212340006563833,4.863211007538791,0,29,24.873728257302265,53.729427866816366,0,1293,Good,Average,Dark,Comfortable,Occupied,"The room BK-2201 has a mean temperature of 21.113451755825402°C with a standard deviation of 1.6579975462450112°C, ranging from 16.2°C to 27.0°C. The average humidity is 29.286183130948473% with a standard deviation of 14.238996776067554%, ranging from 3% to 85%. The average CO2 level is 440.3695848375451 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BK-2202,21.199797788048862,1.2403537919333865,18.3,25.6,28.682362165731263,13.354485937201964,4,79,524.859194453615,119.68886617479005,406,1995,0.9651700231099373,3.5026688416195584,0,29,16.22160779135028,26.670656581767847,1,1002,Good,Average,Dark,Comfortable,Free,"The room BK-2202 has a mean temperature of 21.199797788048862°C with a standard deviation of 1.2403537919333865°C, ranging from 18.3°C to 25.6°C. The average humidity is 28.682362165731263% with a standard deviation of 13.354485937201964%, ranging from 4% to 79%. The average CO2 level is 524.859194453615 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2301,21.108683339316343,1.3642296150728477,17.7,26.0,29.156794703043357,13.943190110573859,3,82,444.57560528100197,113.39045968613794,287,1817,0.7985720553627698,3.3253854854779727,0,29,16.36923138287264,36.485632748956064,1,1463,Good,Average,Dark,Comfortable,Free,"The room BK-2301 has a mean temperature of 21.108683339316343°C with a standard deviation of 1.3642296150728477°C, ranging from 17.7°C to 26.0°C. The average humidity is 29.156794703043357% with a standard deviation of 13.943190110573859%, ranging from 3% to 82%. The average CO2 level is 444.57560528100197 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2302,20.919272713598076,1.4326846087002114,17.9,26.0,28.91143953068592,13.278380413759024,3,77,367.9763838748496,109.42886542709164,252,1684,0.6688853790613718,2.9635287991177335,0,28,36.514590854392296,52.707050589618476,2,973,Good,Average,Dark,Comfortable,Free,"The room BK-2302 has a mean temperature of 20.919272713598076°C with a standard deviation of 1.4326846087002114°C, ranging from 17.9°C to 26.0°C. The average humidity is 28.91143953068592% with a standard deviation of 13.278380413759024%, ranging from 3% to 77%. The average CO2 level is 367.9763838748496 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2401,21.024263410728583,1.243061272417806,17.1,26.2,28.702882305844675,13.125112468237862,3,76,453.47313851080867,145.6721195934077,326,2726,0.8241793434747798,3.03790455295798,0,29,20.127702161729385,40.37880733246951,1,1495,Good,Average,Dark,Comfortable,Free,"The room BK-2401 has a mean temperature of 21.024263410728583°C with a standard deviation of 1.243061272417806°C, ranging from 17.1°C to 26.2°C. The average humidity is 28.702882305844675% with a standard deviation of 13.125112468237862%, ranging from 3% to 76%. The average CO2 level is 453.47313851080867 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2402,21.032380502401764,1.207522103345328,17.9,26.1,28.999527521852116,12.740185247065845,4,74,391.34927947082446,143.9496194978297,265,2523,0.6621781242617529,2.5233600766737707,0,28,24.761752893928655,40.58245430458834,1,1011,Good,Average,Dark,Comfortable,Free,"The room BK-2402 has a mean temperature of 21.032380502401764°C with a standard deviation of 1.207522103345328°C, ranging from 17.9°C to 26.1°C. The average humidity is 28.999527521852116% with a standard deviation of 12.740185247065845%, ranging from 4% to 74%. The average CO2 level is 391.34927947082446 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2501,21.063794013727,1.2646713911891192,17.0,26.3,28.734069772164236,13.159880943512013,3,75,531.0231897006863,155.1109949427159,391,2883,1.8291434837347196,5.213982619900405,0,29,57.8465256061406,94.26111018353916,1,1500,Good,Average,Dark,Comfortable,Occupied,"The room BK-2501 has a mean temperature of 21.063794013727°C with a standard deviation of 1.2646713911891192°C, ranging from 17.0°C to 26.3°C. The average humidity is 28.734069772164236% with a standard deviation of 13.159880943512013%, ranging from 3% to 75%. The average CO2 level is 531.0231897006863 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BK-2502,21.001128762541803,1.2486687293565752,17.4,26.3,29.08517026451809,12.7638630445089,3,75,476.04347826086956,147.86134157245274,338,2687,1.0463286713286712,3.429015010973971,0,29,32.814115232593494,61.27927629366103,1,1097,Good,Average,Dark,Comfortable,Occupied,"The room BK-2502 has a mean temperature of 21.001128762541803°C with a standard deviation of 1.2486687293565752°C, ranging from 17.4°C to 26.3°C. The average humidity is 29.08517026451809% with a standard deviation of 12.7638630445089%, ranging from 3% to 75%. The average CO2 level is 476.04347826086956 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BK-2601,21.111380286380285,1.2498603115505467,17.2,26.8,28.797494172494172,13.069298085020948,3,76,665.3039876789877,159.5501171863685,519,3106,1.735014985014985,5.153002265874164,0,28,48.22827172827173,86.41450361239683,0,1537,Average,Average,Dark,Comfortable,Occupied,"The room BK-2601 has a mean temperature of 21.111380286380285°C with a standard deviation of 1.2498603115505467°C, ranging from 17.2°C to 26.8°C. The average humidity is 28.797494172494172% with a standard deviation of 13.069298085020948%, ranging from 3% to 76%. The average CO2 level is 665.3039876789877 ppm, and the room is generally considered Average for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BK-2602,20.92671388101983,1.3455565118443829,17.4,27.1,28.728085795224604,12.49664005748984,3,73,503.16697693241605,151.5363154132874,381,2795,0.8939295831647106,3.127188954106149,0,28,38.33901254552813,70.99091625194895,1,1004,Good,Average,Dark,Comfortable,Free,"The room BK-2602 has a mean temperature of 20.92671388101983°C with a standard deviation of 1.3455565118443829°C, ranging from 17.4°C to 27.1°C. The average humidity is 28.728085795224604% with a standard deviation of 12.49664005748984%, ranging from 3% to 73%. The average CO2 level is 503.16697693241605 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BK-2702,21.083384697332875,1.1465772772716665,17.4,26.4,28.86930715671727,12.971194474099129,3,75,421.60986188791236,143.05093721679802,304,2743,0.6959251227028878,2.8269862420998475,0,29,23.91690446296085,51.121045878239606,0,915,Good,Average,Dark,Comfortable,Free,"The room BK-2702 has a mean temperature of 21.083384697332875°C with a standard deviation of 1.1465772772716665°C, ranging from 17.4°C to 26.4°C. The average humidity is 28.86930715671727% with a standard deviation of 12.971194474099129%, ranging from 3% to 75%. The average CO2 level is 421.60986188791236 ppm, and the room is generally considered Good for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BM02-0701,22.236069699903197,1.2297911905048493,16.5,27.0,30.14814456276218,11.734258486897296,6,75,629.5841884478864,344.28328042570917,300,3669,1.4601484349790255,4.162718147973002,0,29,47.41213294611165,62.66791178103163,0,2315,Average,Good,Dark,Comfortable,Occupied,"The room BM02-0701 has a mean temperature of 22.236069699903197°C with a standard deviation of 1.2297911905048493°C, ranging from 16.5°C to 27.0°C. The average humidity is 30.14814456276218% with a standard deviation of 11.734258486897296%, ranging from 6% to 75%. The average CO2 level is 629.5841884478864 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BM02-0801,22.009428125095724,1.2070967581623253,16.4,26.1,31.272582473121574,11.986733370554374,7,67,759.0231874291666,2610.757920634753,0,65533,1.3301987931509787,3.4903111841612704,0,29,40.56525867614176,59.49406160023271,1,2342,Average,Good,Dark,Comfortable,Occupied,"The room BM02-0801 has a mean temperature of 22.009428125095724°C with a standard deviation of 1.2070967581623253°C, ranging from 16.4°C to 26.1°C. The average humidity is 31.272582473121574% with a standard deviation of 11.986733370554374%, ranging from 7% to 67%. The average CO2 level is 759.0231874291666 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BM02-0802,21.842877667589445,1.3556782700319687,16.9,26.5,31.31919963556085,12.396291693381377,7,70,655.740932824053,366.71807310254866,366,3828,2.5504432841574096,5.791034625432357,0,29,62.51536601604934,80.8460998863576,1,2365,Average,Good,Dark,Comfortable,Occupied,"The room BM02-0802 has a mean temperature of 21.842877667589445°C with a standard deviation of 1.3556782700319687°C, ranging from 16.9°C to 26.5°C. The average humidity is 31.31919963556085% with a standard deviation of 12.396291693381377%, ranging from 7% to 70%. The average CO2 level is 655.740932824053 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
BM02-0803,22.089017988381045,1.150465857000366,16.7,26.7,30.586232239098482,11.761246441224566,7,71,656.7711205991461,362.39032357175546,294,3765,0.9850213480786729,2.8071733483297483,0,27,36.062889339959405,50.03345676146324,1,2352,Average,Good,Dark,Comfortable,Free,"The room BM02-0803 has a mean temperature of 22.089017988381045°C with a standard deviation of 1.150465857000366°C, ranging from 16.7°C to 26.7°C. The average humidity is 30.586232239098482% with a standard deviation of 11.761246441224566%, ranging from 7% to 71%. The average CO2 level is 656.7711205991461 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BM02-0901,21.92907769057614,1.1694164767014403,15.9,26.4,31.520107075500395,11.873209970129002,7,74,687.589645312405,2174.033345145248,0,65533,0.7268662164628582,2.3638835588507012,0,28,52.53632049644096,88.57797188119964,1,2377,Average,Good,Dark,Comfortable,Free,"The room BM02-0901 has a mean temperature of 21.92907769057614°C with a standard deviation of 1.1694164767014403°C, ranging from 15.9°C to 26.4°C. The average humidity is 31.520107075500395% with a standard deviation of 11.873209970129002%, ranging from 7% to 74%. The average CO2 level is 687.589645312405 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
BM02-0902,21.73106035455813,1.3512388453538549,15.4,27.5,31.414514308478854,11.50837493366906,7,75,650.6717681428856,364.64089471413615,373,3729,1.4245734015005644,3.756274172163067,0,28,93.43921386362128,125.51783105269787,1,2358,Average,Good,Dark,Comfortable,Occupied,"The room BM02-0902 has a mean temperature of 21.73106035455813°C with a standard deviation of 1.3512388453538549°C, ranging from 15.4°C to 27.5°C. The average humidity is 31.414514308478854% with a standard deviation of 11.50837493366906%, ranging from 7% to 75%. The average CO2 level is 650.6717681428856 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
CM03-1001,21.02397670025189,1.317953062625687,16.3,26.8,30.953683879093198,13.639228523214468,3,80,529.1464420654912,229.54615976479465,355,3786,0.6466939546599496,2.173730252490756,0,27,20.980793450881613,42.850562064315596,0,2382,Good,Good,Dark,Comfortable,Free,"The room CM03-1001 has a mean temperature of 21.02397670025189°C with a standard deviation of 1.317953062625687°C, ranging from 16.3°C to 26.8°C. The average humidity is 30.953683879093198% with a standard deviation of 13.639228523214468%, ranging from 3% to 80%. The average CO2 level is 529.1464420654912 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
CM03-1002,20.983790097942315,1.2976928317083285,16.3,26.5,31.56536975469494,13.081858777306202,4,78,552.9698086081409,238.90182689974603,366,3835,1.9081079462066073,4.6829640842353815,0,27,61.69883487584988,87.66692301149611,1,2365,Good,Good,Dark,Comfortable,Occupied,"The room CM03-1002 has a mean temperature of 20.983790097942315°C with a standard deviation of 1.2976928317083285°C, ranging from 16.3°C to 26.5°C. The average humidity is 31.56536975469494% with a standard deviation of 13.081858777306202%, ranging from 4% to 78%. The average CO2 level is 552.9698086081409 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
CM03-1101,21.012557790453318,1.2646112282537627,16.5,29.1,31.344971480036026,13.212660871263399,3,78,524.5777244070849,234.1751146828189,360,3794,0.6836085259681777,2.349614140423883,0,29,37.02239567697388,75.9430976933943,0,2360,Good,Good,Dark,Comfortable,Free,"The room CM03-1101 has a mean temperature of 21.012557790453318°C with a standard deviation of 1.2646112282537627°C, ranging from 16.5°C to 29.1°C. The average humidity is 31.344971480036026% with a standard deviation of 13.212660871263399%, ranging from 3% to 78%. The average CO2 level is 524.5777244070849 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
CM03-1102,20.950803218903523,1.5998333343312354,16.2,27.5,31.286838060218813,12.596916065336433,3,76,589.1638988516833,236.26892471045326,375,3801,2.741251996744929,6.337280195180784,0,29,89.65674070948492,137.92373379939679,0,2376,Good,Good,Dark,Comfortable,Occupied,"The room CM03-1102 has a mean temperature of 20.950803218903523°C with a standard deviation of 1.5998333343312354°C, ranging from 16.2°C to 27.5°C. The average humidity is 31.286838060218813% with a standard deviation of 12.596916065336433%, ranging from 3% to 76%. The average CO2 level is 589.1638988516833 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
CM03-1103,21.281578435188788,1.273117989644316,16.1,27.0,30.52549630206306,12.547600301603106,4,74,737.4527053328143,3648.5103203447075,0,65533,0.7137667055923187,2.455721203025205,0,28,40.011288439081355,72.65489504958221,1,2348,Average,Good,Dark,Comfortable,Free,"The room CM03-1103 has a mean temperature of 21.281578435188788°C with a standard deviation of 1.273117989644316°C, ranging from 16.1°C to 27.0°C. The average humidity is 30.52549630206306% with a standard deviation of 12.547600301603106%, ranging from 4% to 74%. The average CO2 level is 737.4527053328143 ppm, and the room is generally considered Average for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
SM-1401,21.803449152811773,1.0017100677000748,16.5,28.0,30.0564898114887,12.675473120167874,5,69,2388.572622945608,10819.181088720099,0,65534,1.92170264170137,4.065837226224894,0,28,119.44222271672442,241.75779153903324,1,2322,Hazardous,Good,Dim,Comfortable,Occupied,"The room SM-1401 has a mean temperature of 21.803449152811773°C with a standard deviation of 1.0017100677000748°C, ranging from 16.5°C to 28.0°C. The average humidity is 30.0564898114887% with a standard deviation of 12.675473120167874%, ranging from 5% to 69%. The average CO2 level is 2388.572622945608 ppm, and the room is generally considered Hazardous for CO2 levels, Good for humidity, Dim for light, Comfortable for temperature, and Occupied for occupancy."
SM-1402,21.37822222222222,1.1419181733005073,16.2,27.0,31.089083536090836,13.460725445876268,4,74,1081.1434549878345,5912.690731080512,0,65533,1.7681427412814275,3.9579606831874994,0,28,127.96360097323601,232.23348373304978,0,2335,Hazardous,Good,Dim,Comfortable,Occupied,"The room SM-1402 has a mean temperature of 21.37822222222222°C with a standard deviation of 1.1419181733005073°C, ranging from 16.2°C to 27.0°C. The average humidity is 31.089083536090836% with a standard deviation of 13.460725445876268%, ranging from 4% to 74%. The average CO2 level is 1081.1434549878345 ppm, and the room is generally considered Hazardous for CO2 levels, Good for humidity, Dim for light, Comfortable for temperature, and Occupied for occupancy."
SM-1501,21.513169130674722,1.0836186509214625,16.2,26.9,32.01992506317349,13.722143038884525,5,79,3220.1106334775914,12877.693387612144,0,65535,1.4737575880798164,3.452786755189273,0,28,73.22803450579454,158.4785571672897,0,2361,Hazardous,Good,Dark,Comfortable,Occupied,"The room SM-1501 has a mean temperature of 21.513169130674722°C with a standard deviation of 1.0836186509214625°C, ranging from 16.2°C to 26.9°C. The average humidity is 32.01992506317349% with a standard deviation of 13.722143038884525%, ranging from 5% to 79%. The average CO2 level is 3220.1106334775914 ppm, and the room is generally considered Hazardous for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
SM-1502,21.48746669364903,0.9854497068045199,16.5,25.8,30.506627542244257,13.28168013120563,5,74,541.6740530877938,180.23807036586223,372,2393,1.8094033525582651,4.242942532150167,0,28,77.61040844547877,120.60965932582471,0,2341,Good,Good,Dark,Comfortable,Occupied,"The room SM-1502 has a mean temperature of 21.48746669364903°C with a standard deviation of 0.9854497068045199°C, ranging from 16.5°C to 25.8°C. The average humidity is 30.506627542244257% with a standard deviation of 13.28168013120563%, ranging from 5% to 74%. The average CO2 level is 541.6740530877938 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
SM-1601,21.527719499443453,0.9634545260357061,14.3,25.5,29.85425169494384,13.360654589514192,4,75,818.7598407933349,4146.644274672666,0,65533,0.743852666374338,1.9728544455454842,0,27,32.309204978581306,93.24177653562089,1,2364,Average,Average,Dark,Comfortable,Free,"The room SM-1601 has a mean temperature of 21.527719499443453°C with a standard deviation of 0.9634545260357061°C, ranging from 14.3°C to 25.5°C. The average humidity is 29.85425169494384% with a standard deviation of 13.360654589514192%, ranging from 4% to 75%. The average CO2 level is 818.7598407933349 ppm, and the room is generally considered Average for CO2 levels, Average for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
SM-1602,21.58869690877105,1.2147933248177776,0.0,27.2,31.079542598642874,14.023043232988154,0,75,572.1404247298316,401.94594005859193,371,65534,0.7240512691631064,2.095892138805748,0,26,55.39755591857251,99.32359500050485,1,2256,Good,Good,Dark,Comfortable,Free,"The room SM-1602 has a mean temperature of 21.58869690877105°C with a standard deviation of 1.2147933248177776°C, ranging from 0.0°C to 27.2°C. The average humidity is 31.079542598642874% with a standard deviation of 14.023043232988154%, ranging from 0% to 75%. The average CO2 level is 572.1404247298316 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
